symbol,date,open,high,low,close,adj_close,volume,return,log_return
ADANIPORTS.NS,2016-01-31,261.0,268.29998779296875,207.1499938964844,212.25,201.0770568847656,79768159,,
ADANIPORTS.NS,2016-02-29,213.25,223.9499969482422,169.14999389648438,196.6999969482422,186.3455810546875,89682732,-0.07326283793043831,-0.07608528968327136
ADANIPORTS.NS,2016-03-31,198.0,250.0,196.3500061035156,247.6999969482422,235.7242431640625,62970988,0.2649843469853126,0.23505974817827185
ADANIPORTS.NS,2016-04-30,248.0,249.4499969482422,214.6999969482422,238.1999969482422,226.6835784912109,66031440,-0.038352714814145594,-0.03910754296398017
ADANIPORTS.NS,2016-05-31,237.0,242.4499969482422,169.6999969482422,192.1499938964844,182.8599853515625,198503146,-0.1933249573318676,-0.21483436508053114
ADANIPORTS.NS,2016-06-30,192.8500061035156,211.8999938964844,192.5,206.8500061035156,196.84930419921875,96614344,0.07650289821887868,0.07371773007957497
ADANIPORTS.NS,2016-07-31,205.1000061035156,233.5,203.8000030517578,232.3999938964844,221.1639862060547,93620903,0.12351926823286408,0.11646596268119883
ADANIPORTS.NS,2016-08-31,234.4499969482422,279.70001220703125,221.5,262.95001220703125,250.23699951171875,134998949,0.13145455462435574,0.12350402145309981
ADANIPORTS.NS,2016-09-30,263.1499938964844,277.70001220703125,249.1000061035156,256.75,244.3367462158203,88897430,-0.023578660659340778,-0.023861085580624473
ADANIPORTS.NS,2016-10-31,260.70001220703125,317.0,248.1000061035156,307.0,292.1572570800781,103956760,0.19571559171872743,0.1787448276833585
ADANIPORTS.NS,2016-11-30,307.0,308.0,245.1499938964844,277.8999938964844,264.4641418457031,97722875,-0.09478838729234274,-0.09958653641898889
ADANIPORTS.NS,2016-12-31,280.0,291.6499938964844,257.25,268.45001220703125,255.47103881835935,72455318,-0.03400499956092584,-0.03459662031192089
ADANIPORTS.NS,2017-01-31,269.79998779296875,308.95001220703125,267.0,293.3500061035156,279.1672058105469,68379565,0.09275480736208053,0.08870185407632322
ADANIPORTS.NS,2017-02-28,295.54998779296875,315.8999938964844,293.6499938964844,301.75,287.1610717773437,60673961,0.028634688460584368,0.028232377745497236
ADANIPORTS.NS,2017-03-31,302.95001220703125,342.70001220703125,291.0,339.6000061035156,323.1810913085937,84663638,0.1254348972453303,0.11816953628457447
ADANIPORTS.NS,2017-04-30,340.6000061035156,359.25,317.6000061035156,327.70001220703125,311.8564453125,85427717,-0.03504117753374436,-0.035669849573009185
ADANIPORTS.NS,2017-05-31,328.75,362.5499877929688,323.8999938964844,339.0,322.610107421875,94271017,0.03448273162544124,0.03390152558027421
ADANIPORTS.NS,2017-06-30,337.6000061035156,377.7000122070313,337.6000061035156,363.0499877929688,345.49737548828125,87298310,0.07094405147225191,0.06854055057937349
ADANIPORTS.NS,2017-07-31,364.8999938964844,398.4500122070313,359.5,395.8999938964844,378.0008850097656,67028478,0.09407744263049223,0.08991149000490586
ADANIPORTS.NS,2017-08-31,397.4500122070313,421.5,369.6499938964844,392.9500122070313,375.1842346191406,64604166,-0.007451438613833461,-0.007479339268961781
ADANIPORTS.NS,2017-09-30,394.9500122070313,414.7000122070313,363.7000122070313,376.75,359.71661376953125,68583352,-0.04122673455432091,-0.042100660158925156
ADANIPORTS.NS,2017-10-31,377.5499877929688,439.0,375.1000061035156,430.3500061035156,410.8933410644531,65064056,0.14226956814319003,0.13301713254076128
ADANIPORTS.NS,2017-11-30,432.0,443.2999877929688,395.0,398.0,380.0058898925781,86772591,-0.07517145712767825,-0.07814691770777447
ADANIPORTS.NS,2017-12-31,400.8999938964844,414.5,374.0499877929688,405.6499938964844,387.3100280761719,85848826,0.019221118350714272,0.019038726137886774
ADANIPORTS.NS,2018-01-31,406.7000122070313,452.3500061035156,395.0,428.8500061035156,409.4611511230469,91364370,0.05719222700456017,0.055616551284872605
ADANIPORTS.NS,2018-02-28,431.0,433.0,387.0,408.3500061035156,389.8880310058594,48736456,-0.04780214206769906,-0.048982431822756745
ADANIPORTS.NS,2018-03-31,408.3500061035156,413.75,350.45001220703125,354.1000061035156,338.0906982421875,76399301,-0.132851815507241,-0.14254540043616964
ADANIPORTS.NS,2018-04-30,356.0,411.2999877929688,356.0,407.2999877929688,388.8854064941406,72262375,0.150239886858901,0.1399705178903831
ADANIPORTS.NS,2018-05-31,408.0,415.6499938964844,364.7000122070313,392.1499938964844,374.42041015625,66024227,-0.037196037949314475,-0.03790545794802972
ADANIPORTS.NS,2018-06-30,394.1000061035156,395.3999938964844,355.1499938964844,373.1499938964844,356.2794189453125,67266667,-0.04845086090089756,-0.04966394975483396
ADANIPORTS.NS,2018-07-31,371.0,402.4500122070313,355.6000061035156,399.75,383.600830078125,46442874,0.07668534773547009,0.07388719925382935
ADANIPORTS.NS,2018-08-31,402.9500122070313,406.3999938964844,367.2999877929688,383.1499938964844,367.6714477539063,57426791,-0.04152593288438522,-0.04241277255820903
ADANIPORTS.NS,2018-09-30,384.0,392.9500122070313,316.54998779296875,328.8999938964844,315.6130065917969,54768118,-0.14158956720771454,-0.15267293397402773
ADANIPORTS.NS,2018-10-31,328.0,339.29998779296875,294.1000061035156,318.8500061035156,305.96905517578125,94145410,-0.030556254699885654,-0.031032830428386383
