symbol,date,open,high,low,close,adj_close,volume,return,log_return,vol_3m,vol_6m,mom_1m,mom_3m,mom_6m,mom_12m,sharpe_6m,range_pos_6m,regime
ADANIPORTS.NS,2016-01-31,261.0,268.29998779296875,207.1499938964844,212.25,201.0770568847656,79768159,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADANIPORTS.NS,2016-02-29,213.25,223.9499969482422,169.14999389648438,196.6999969482422,186.3455810546875,89682732,-0.0732628379304383,-0.0760852896832713,0.0,0.0,-0.07326283793043831,0.0,0.0,0.0,0.0,0.0,0
ADANIPORTS.NS,2016-03-31,198.0,250.0,196.3500061035156,247.6999969482422,235.7242431640625,62970988,0.2649843469853126,0.2350597481782718,0.2200127662044422,0.0,0.2649843469853126,0.0,0.0,0.0,0.0,0.7922340684535636,0
ADANIPORTS.NS,2016-04-30,248.0,249.4499969482422,214.6999969482422,238.1999969482422,226.6835784912109,66031440,-0.0383527148141455,-0.0391075429639801,0.16997367044662018,0.16997367044662018,-0.038352714814145594,0.12734680924398067,0.0,0.0,0.23506957521922847,0.6964196399633481,0
ADANIPORTS.NS,2016-05-31,237.0,242.4499969482422,169.6999969482422,192.1499938964844,182.8599853515625,198503146,-0.1933249573318676,-0.2148343650805311,0.22673491595855091,0.18838839024523213,-0.1933249573318676,-0.018705008637162512,0.0,0.0,-0.12602614394906192,0.23197177423946927,0
ADANIPORTS.NS,2016-06-30,192.8500061035156,211.8999938964844,192.5,206.8500061035156,196.84930419921875,96614344,0.0765028982188786,0.0737177300795749,0.145414218624946,0.16887070088430764,0.07650289821887868,-0.16491701677789272,0.0,0.0,-0.025166851749485988,0.38023211828324655,0
ADANIPORTS.NS,2016-07-31,205.1000061035156,233.5,203.8000030517578,232.3999938964844,221.1639862060547,93620903,0.123519268232864,0.1164659626811988,0.18020804189735776,0.15887911309264038,0.12351926823286408,-0.024349325707200387,0.09989667460072593,0.0,0.09988332361403982,0.7823128661118272,0
ADANIPORTS.NS,2016-08-31,234.4499969482422,279.70001220703125,221.5,262.95001220703125,250.23699951171875,134998949,0.1314545546243557,0.1235040214530998,0.026943213340186352,0.15665446343929193,0.13145455462435574,0.36846231848164446,0.3428652189948138,0.0,0.3136473610723511,0.8477272938499737,1
ADANIPORTS.NS,2016-09-30,263.1499938964844,277.70001220703125,249.1000061035156,256.75,244.3367462158203,88897430,-0.0235786606593407,-0.0238610855806244,0.0831240934950208,0.12828858436025883,-0.023578660659340778,0.2412375406140248,0.03653634830323149,0.0,0.046619789240127996,0.7913635543318933,0
ADANIPORTS.NS,2016-10-31,260.70001220703125,317.0,248.1000061035156,307.0,292.1572570800781,103956760,0.1957155917187274,0.1787448276833585,0.10473552209698049,0.14296455377223266,0.19571559171872743,0.3209983329197197,0.2888329142527888,0.0,0.2958041982447431,0.9321113388131688,1
ADANIPORTS.NS,2016-11-30,307.0,308.0,245.1499938964844,277.8999938964844,264.4641418457031,97722875,-0.0947883872923427,-0.0995865364189888,0.14390497341259584,0.10391993589845258,-0.09478838729234274,0.056854671218666386,0.4462657936740524,0.0,0.5917775652757967,0.6859437260761797,1
ADANIPORTS.NS,2016-12-31,280.0,291.6499938964844,257.25,268.45001220703125,255.47103881835932,72455318,-0.0340049995609258,-0.0345966203119208,0.1456059813740491,0.11056778495156916,-0.03400499956092595,0.04556945598638773,0.29780006008968773,0.0,0.39292724310898497,0.5711131704785558,1
ADANIPORTS.NS,2017-01-31,269.79998779296875,308.95001220703125,267.0,293.3500061035156,279.1672058105469,68379565,0.0927548073620805,0.0887018540763232,0.09563709267972967,0.10743726372010616,0.09275480736208075,-0.04446253158096558,0.2622634028238737,0.3883593192361754,0.36130614406439665,0.7523560848535668,1
ADANIPORTS.NS,2017-02-28,295.54998779296875,315.8999938964844,293.6499938964844,301.75,287.1610717773437,60673961,0.0286346884605843,0.0282323777454972,0.06165299986090399,0.09913761289641547,0.028634688460584368,0.08582233407235473,0.1475564058779235,0.5410135842881594,0.23138681201562633,0.7877522796862529,1
ADANIPORTS.NS,2017-03-31,302.95001220703125,342.70001220703125,291.0,339.6000061035156,323.1810913085937,84663638,0.1254348972453303,0.1181695362845744,0.0458504713689581,0.10262337310569017,0.1254348972453303,0.26504003273097587,0.3226872188235286,0.37101337974669746,0.4541938653858459,0.9682213683072117,1
ADANIPORTS.NS,2017-04-30,340.6000061035156,359.25,317.6000061035156,327.70001220703125,311.8564453125,85427717,-0.0350411775337443,-0.0356698495730091,0.07728598814725686,0.08283267181209528,-0.03504117753374436,0.11709555714841824,0.06742666065975045,0.37573461380922857,0.1312903076668759,0.7234882900501733,0
